token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP135	0	e::mh	emh	linguistic	none	_	Begin=5.2|End=6.57	0x2	_	_	_
1-0	PKP007	1	tu	tu	linguistic	none	_	Begin=10.38	_	_	_	_
1-1	PKP007	1	non	non	linguistic	none	_	_	_	_	_	_
1-2	PKP007	1	hai	hai	linguistic	none	_	_	_	_	_	_
1-3	PKP007	1	mai	mai	linguistic	none	_	_	_	_	_	_
1-4	PKP007	1	fatto	fatto	linguistic	none	_	_	_	_	_	_
1-5	PKP007	1	queste	queste	linguistic	none	_	_	_	_	_	_
1-6	PKP007	1	foto	foto	linguistic	none	_	_	_	_	_	_
1-7	PKP007	1	quando	quando	linguistic	none	_	_	_	_	_	_
1-8	PKP007	1	sei	sei	linguistic	none	_	_	_	_	_	_
1-9	PKP007	1	andata	andata	linguistic	none	_	_	_	_	_	_
1-10	PKP007	1	in	in	linguistic	none	_	_	_	_	_	_
1-11	PKP007	1	barca,	barca	linguistic	none	Intonation=WeaklyRising	End=12.702	_	_	_	_
2-0	PKP135	2	no	no	linguistic	none	_	Begin=12.961	_	_	_	_
2-1	PKP135	2	((ride))	((ride))	nonverbalbehavior	none	_	_	_	_	_	_
2-2	PKP135	2	direi	direi	linguistic	none	_	_	_	_	_	_
2-3	PKP135	2	di	di	linguistic	none	_	_	_	_	_	_
2-4	PKP135	2	no,	no	linguistic	none	Intonation=WeaklyRising	End=15.955	_	_	_	_
3-0	PKP007	3	o	o	linguistic	none	_	Begin=19.95	_	_	_	_
3-1	PKP007	3	queste	queste	linguistic	none	_	_	_	_	_	_
3-2	PKP007	3	foto	foto	linguistic	none	_	_	_	_	_	_
3-3	PKP007	3	non	non	linguistic	none	_	_	_	_	_	_
3-4	PKP007	3	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
3-5	PKP007	3	abbiam	abbiam	linguistic	none	_	_	_	_	_	_
3-6	PKP007	3	mai	mai	linguistic	none	_	_	_	_	_	_
3-7	PKP007	3	fatte,	fatte	linguistic	none	Intonation=WeaklyRising	End=21.937	_	_	_	_
4-0	PKP135	4	>tu	tu	linguistic	none	_	Begin=22.34	_	Fast=0-2	_	_
4-1	PKP135	4	non	non	linguistic	none	_	_	_	Fast=0-3	_	_
4-2	PKP135	4	le	le	linguistic	none	_	_	_	Fast=0-2	_	_
4-3	PKP135	4	vuoi	vuoi	linguistic	none	_	_	_	Fast=0-4	_	_
4-4	PKP135	4	fare<,	fare	linguistic	none	Intonation=WeaklyRising	End=23.21	_	Fast=0-4	_	_
5-0	PKP135	5	sempre	sempre	linguistic	none	_	Begin=26.28	_	_	_	_
5-1	PKP135	5	che	che	linguistic	none	_	_	_	_	_	_
5-2	PKP135	5	non	non	linguistic	none	_	_	_	_	_	_
5-3	PKP135	5	ti	ti	linguistic	none	_	_	_	_	_	_
5-4	PKP135	5	vuoi	vuoi	linguistic	none	_	_	_	_	_	_
