token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP078	0	è	è	linguistic	none	_	Begin=0.55	_	_	_	_
0-1	PKP078	0	[vero:]	vero	linguistic	none	_	End=1.64	3x1	_	_	0-4(0)
1-0	PKP070	1	[è	è	linguistic	none	_	Begin=0.81	_	_	_	0-1(0)
1-1	PKP070	1	vero:]	vero	linguistic	none	_	_	3x1	_	_	0-4(0)
1-2	PKP070	1	((ride))	((ride))	nonverbalbehavior	none	_	End=2.28	_	_	_	_
2-0	PKP071	2	((ride))	((ride))	nonverbalbehavior	none	_	Begin=2.1|End=2.79	_	_	_	_
3-0	PKP079	3	no:	no	linguistic	none	_	Begin=3.91	1x1	_	_	_
3-1	PKP079	3	ultimamente:	ultimamente	linguistic	none	_	_	10x1	_	_	_
3-2	PKP079	3	quel	quel	linguistic	none	_	_	_	_	_	_
3-3	PKP079	3	profilo:	profilo	linguistic	none	_	End=6.35	6x1	_	_	_
4-0	PKP078	4	perché	perché	linguistic	none	_	Begin=6.35	_	_	_	_
4-1	PKP078	4	nessuno	nessuno	linguistic	none	_	_	_	_	_	_
4-2	PKP078	4	di	di	linguistic	none	_	_	_	_	_	_
4-3	PKP078	4	voi	voi	linguistic	none	_	_	_	_	_	_
4-4	PKP078	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-5	PKP078	4	fa	fa	linguistic	none	_	_	_	_	_	_
4-6	PKP078	4	niente	niente	linguistic	none	_	End=8.39	_	_	_	_
5-0	PKP078	5	siete	siete	linguistic	none	_	Begin=8.66	_	_	_	_
5-1	PKP078	5	p[assivi	passivi	linguistic	none	_	_	_	_	_	1-7(?)
5-2	PKP078	5	c(io)è]	cioè	linguistic	none	_	End=10.21	_	_	1-3(0)	0-4(?)
6-0	PKP071	6	[ciò]	ciò	linguistic	none	_	Begin=9.02|End=9.37	_	_	_	0-3(1)
7-0	PKP070	7	[è	è	linguistic	none	_	Begin=9.45	_	_	_	0-1(524)
7-1	PKP070	7	ve:ro	vero	linguistic	none	_	_	1x1	_	_	0-4(524)
