token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP014	0	[sì]	sì	linguistic	none	_	Begin=0.38|End=0.61	_	_	_	0-2(0)
1-0	PKP018	1	[ma	ma	linguistic	none	_	Begin=0.44	_	_	_	0-2(0)
1-1	PKP018	1	gli	gli	linguistic	none	_	_	_	_	_	0-3(0)
1-2	PKP018	1	a]ltri	altri	linguistic	none	_	_	_	_	_	0-1(0)
1-3	PKP018	1	burger	burger	linguistic	none	_	_	_	_	_	_
1-4	PKP018	1	li	li	linguistic	none	_	_	_	_	_	_
1-5	PKP018	1	lascio	lascio	linguistic	none	_	_	_	_	_	_
1-6	PKP018	1	lì	lì	linguistic	none	_	_	_	_	_	_
1-7	PKP018	1	fuori	fuori	linguistic	none	_	_	_	_	_	_
1-8	PKP018	1	quelli	quelli	linguistic	none	_	End=2.87	_	_	_	_
2-0	PKP014	2	sì	sì	linguistic	none	_	Begin=2.56	_	_	_	_
2-1	PKP014	2	sì	sì	linguistic	none	_	_	_	_	_	_
2-2	PKP014	2	li	li	linguistic	none	_	_	_	_	_	_
2-3	PKP014	2	cuo~	cuo~	linguistic	none	Interrupted=Yes	_	_	_	_	_
2-4	PKP014	2	m::h	mh	linguistic	none	_	End=3.72	0x2	_	_	_
3-0	PKP014	3	oh	oh	linguistic	none	_	Begin=3.85	_	_	_	_
3-1	PKP014	3	[al	al	linguistic	none	_	_	_	_	_	0-2(2)
3-2	PKP014	3	massimo	massimo	linguistic	none	_	_	_	_	_	0-7(2)
3-3	PKP014	3	li	li	linguistic	none	_	_	_	_	_	0-2(2)
3-4	PKP014	3	met]tiamo	mettiamo	linguistic	none	_	_	_	_	_	0-3(2)
3-5	PKP014	3	in	in	linguistic	none	_	_	_	_	_	_
3-6	PKP014	3	frigo	frigo	linguistic	none	_	End=5.53	_	_	_	_
4-0	PKP015	4	[qua	qua	linguistic	none	_	Begin=4.059	_	_	_	0-3(2)
4-1	PKP015	4	va	va	linguistic	none	_	_	_	_	_	0-2(2)
4-2	PKP015	4	dentro]?	dentro	linguistic	none	Intonation=Rising	End=4.8	_	_	_	0-6(2)
5-0	PKP015	5	un	un	linguistic	none	_	Begin=5.42	_	_	_	_
5-1	PKP015	5	pochettino	pochettino	linguistic	none	_	_	_	_	_	_
5-2	PKP015	5	qua	qua	linguistic	none	_	_	_	_	_	_
5-3	PKP015	5	dentro	dentro	linguistic	none	_	End=6.45	_	_	_	_
6-0	PKP018	6	ok	ok	linguistic	none	_	Begin=6.485|End=6.825	_	_	_	_
7-0	PKP014	7	tanto::	tanto	linguistic	none	_	Begin=6.965	4x2	_	_	_
7-1	PKP014	7	sono::	sono	linguistic	none	_	End=8.015	3x2	_	_	_
8-0	PKP018	8	rimangono	rimangono	linguistic	none	_	Begin=8.23	_	_	_	_
8-1	PKP018	8	scongela[ti]	scongelati	linguistic	none	_	End=9.46	_	_	_	8-10(461)
9-0	PKP014	9	[sì	sì	linguistic	none	_	Begin=9.345	_	_	_	0-2(461)
9-1	PKP014	9	sì]	sì	linguistic	none	_	End=9.845	_	_	_	0-2(461)
10-0	PKP013	10	[ne	ne	linguistic	none	_	Begin=9.392	_	_	_	0-2(461)
10-1	PKP013	10	vuoi	vuoi	linguistic	none	_	_	_	_	_	0-4(461)
10-2	PKP013	10	anche	anche	linguistic	none	_	_	_	_	_	0-5(461)
10-3	PKP013	10	f]uori?	fuori	linguistic	none	Intonation=Rising	End=10.292	_	_	_	0-1(461)
11-0	PKP015	11	[secondo	secondo	linguistic	none	_	Begin=10.435	_	_	_	0-7(4)
11-1	PKP015	11	me	me	linguistic	none	_	_	_	_	_	0-2(4)
11-2	PKP015	11	sì	sì	linguistic	none	_	_	_	_	_	0-2(4)
11-3	PKP015	11	dai]	dai	linguistic	none	_	End=11.535	_	_	_	0-3(4)
12-0	PKP018	12	[sai	sai	linguistic	none	_	Begin=10.74	_	_	_	0-3(4)
12-1	PKP018	12	cosa	cosa	linguistic	none	_	_	_	_	_	0-4(4)
12-2	PKP018	12	perché]	perché	linguistic	none	_	_	_	_	_	0-6(4)
12-3	PKP018	12	qui	qui	linguistic	none	_	_	_	_	_	_
12-4	PKP018	12	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
12-5	PKP018	12	era	era	linguistic	none	_	_	_	_	_	_
12-6	PKP018	12	un'	un'	linguistic	none	SpaceAfter=No	_	_	_	_	_
12-7	PKP018	12	altra	altra	linguistic	none	_	_	_	_	_	_
12-8	PKP018	12	candela	candela	linguistic	none	_	_	_	_	_	_
12-9	PKP018	12	che	che	linguistic	none	_	_	_	_	_	_
12-10	PKP018	12	si	si	linguistic	none	_	_	_	_	_	_
12-11	PKP018	12	è	è	linguistic	none	_	_	_	_	_	_
12-12	PKP018	12	sciolta	sciolta	linguistic	none	_	End=13.605	_	_	_	_
13-0	PKP018	13	e	e	linguistic	none	_	Begin=13.616	_	_	_	_
13-1	PKP018	13	adesso	adesso	linguistic	none	_	_	_	_	_	_
13-2	PKP018	13	ques~	ques~	linguistic	none	Interrupted=Yes	End=14.368	_	_	_	_
14-0	PKP015	14	grazie	grazie	linguistic	none	_	Begin=14.937	_	_	_	_
14-1	PKP015	14	mille	mille	linguistic	none	_	End=15.647	_	_	_	_
15-0	PKP014	15	ok	ok	linguistic	none	_	Begin=16.672|End=17.172	_	_	_	_
16-0	PKP014	16	qua	qua	linguistic	none	_	Begin=17.412	_	_	_	_
16-1	PKP014	16	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
16-2	PKP014	16	è	è	linguistic	none	_	_	_	_	_	_
16-3	PKP014	16	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
16-4	PKP014	16	hummus	hummus	linguistic	none	_	End=18.342	_	_	_	_
17-0	PKP014	17	ah	ah	linguistic	none	_	Begin=18.357	_	_	_	_
17-1	PKP014	17	°ci	ci	linguistic	none	Volume=Low	_	_	_	_	_
17-2	PKP014	17	penso	penso	linguistic	none	Volume=Low	_	_	_	_	_
17-3	PKP014	17	io°	io	linguistic	none	Volume=Low	End=19.097	_	_	_	_
18-0	PKP014	18	se	se	linguistic	none	_	Begin=19.797	_	_	_	_
18-1	PKP014	18	hai	hai	linguistic	none	_	_	_	_	_	_
18-2	PKP014	18	già	già	linguistic	none	_	_	_	_	_	_
18-3	PKP014	18	pre::so	preso	linguistic	none	_	End=20.66	2x2	_	_	_
19-0	PKP013	19	sì	sì	linguistic	none	_	Begin=20.82	_	_	_	_
19-1	PKP013	19	sì	sì	linguistic	none	_	End=21.279	_	_	_	_
20-0	PKP014	20	°tanto	tanto	linguistic	none	Volume=Low	Begin=21.279	_	_	_	_
20-1	PKP014	20	sono	sono	linguistic	none	Volume=Low	_	_	_	_	_
20-2	PKP014	20	nostre°	nostre	linguistic	none	Volume=Low	End=22.277	_	_	_	_
21-0	PKP014	21	°ok°	ok	linguistic	none	Volume=Low	Begin=22.542|End=22.922	_	_	_	_
22-0	PKP014	22	mamma	mamma	linguistic	none	_	Begin=23.742	_	_	_	_
22-1	PKP014	22	vuoi	vuoi	linguistic	none	_	_	_	_	_	_
22-2	PKP014	22	delle	delle	linguistic	none	_	_	_	_	_	_
22-3	PKP014	22	melanzane?	melanzane	linguistic	none	Intonation=Rising	End=25.152	_	_	_	_
23-0	PKP018	23	e::	e	linguistic	none	_	Begin=25.492	0x2	_	_	_
23-1	PKP018	23	sì	sì	linguistic	none	_	_	_	_	_	_
23-2	PKP018	23	dopo	dopo	linguistic	none	_	_	_	_	_	_
23-3	PKP018	23	sai	sai	linguistic	none	_	End=26.99	_	_	_	_
24-0	PKP018	24	°no::°	no	linguistic	none	Volume=Low	Begin=27.002|End=27.72	1x2	_	_	_
25-0	PKP014	25	beh	beh	linguistic	none	_	Begin=28.245	_	_	_	_
25-1	PKP014	25	te	te	linguistic	none	_	_	_	_	_	_
25-2	PKP014	25	le	le	linguistic	none	_	_	_	_	_	_
25-3	PKP014	25	metto	metto	linguistic	none	_	_	_	_	_	_
25-4	PKP014	25	ora	ora	linguistic	none	_	End=28.977	_	_	_	_
26-0	PKP013	26	questo	questo	linguistic	none	_	Begin=29.302	_	_	_	_
26-1	PKP013	26	lo	lo	linguistic	none	_	_	_	_	_	_
26-2	PKP013	26	posso	posso	linguistic	none	_	_	_	_	_	_
26-3	PKP013	26	prender[e	prendere	linguistic	none	_	_	_	_	_	7-8(5)
26-4	PKP013	26	con::]	con	linguistic	none	_	_	2x2	_	_	0-3(5)
26-5	PKP013	26	lo	lo	linguistic	none	_	End=31.41	_	_	_	_
27-0	PKP014	27	[sì	sì	linguistic	none	_	Begin=30.46	_	_	_	0-2(5)
27-1	PKP014	27	sì]	sì	linguistic	none	_	End=31.016	_	_	_	0-2(5)
28-0	PKP015	28	ah	ah	linguistic	none	_	Begin=31.346	_	_	_	_
28-1	PKP015	28	io	io	linguistic	none	_	_	_	_	_	_
28-2	PKP015	28	(l'	l'	linguistic	none	SpaceAfter=No	_	_	_	0-2(0)	_
28-3	PKP015	28	ho	ho	linguistic	none	_	_	_	_	0-2(0)	_
28-4	PKP015	28	preso	preso	linguistic	none	_	_	_	_	0-5(0)	_
28-5	PKP015	28	con	con	linguistic	none	_	_	_	_	0-3(0)	_
28-6	PKP015	28	il)	il	linguistic	none	_	_	_	_	0-2(0)	_
28-7	PKP015	28	coltello	coltello	linguistic	none	_	End=32.636	_	_	_	_
29-0	PKP014	29	[sì]	sì	linguistic	none	_	Begin=32.631|End=32.901	_	_	_	0-2(?)
30-0	PKP013	30	[ah]	ah	linguistic	none	_	Begin=32.726|End=32.956	_	_	_	0-2(?)
31-0	PKP014	31	potevo	potevo	linguistic	none	_	Begin=32.901	_	_	_	_
31-1	PKP014	31	mettere	mettere	linguistic	none	_	_	_	_	_	_
31-2	PKP014	31	un	un	linguistic	none	_	_	_	_	_	_
31-3	PKP014	31	cucchiaino	cucchiaino	linguistic	none	_	_	_	_	_	_
31-4	PKP014	31	ma::	ma	linguistic	none	_	End=34.22	1x2	_	_	_
32-0	PKP013	32	no	no	linguistic	none	_	Begin=34.22	_	_	_	_
32-1	PKP013	32	no	no	linguistic	none	_	_	_	_	_	_
32-2	PKP013	32	ma	ma	linguistic	none	_	_	_	_	_	_
32-3	PKP013	32	vabbè	vabbè	linguistic	none	_	_	_	_	_	_
32-4	PKP013	32	usiamo	usiamo	linguistic	none	_	_	_	_	_	_
32-5	PKP013	32	i	i	linguistic	none	_	_	_	_	_	_
32-6	PKP013	32	coltelli	coltelli	linguistic	none	_	End=35.781	_	_	_	_
33-0	PKP013	33	no	no	linguistic	none	_	Begin=36.886	_	_	_	_
33-1	PKP013	33	prob	prob	linguistic	none	_	End=37.586	_	_	_	_
34-0	PKP014	34	sì	sì	linguistic	none	_	Begin=38.226	_	_	_	_
34-1	PKP014	34	alla	alla	linguistic	none	_	_	_	_	_	_
34-2	PKP014	34	fine	fine	linguistic	none	_	_	_	_	_	_
34-3	PKP014	34	eran	eran	linguistic	none	_	_	_	_	_	_
34-4	PKP014	34	buone	buone	linguistic	none	_	_	_	_	_	_
34-5	PKP014	34	le	le	linguistic	none	_	_	_	_	_	_
34-6	PKP014	34	melanzane	melanzane	linguistic	none	_	End=39.656	_	_	_	_
35-0	PKP014	35	me	me	linguistic	none	_	Begin=40.161	_	_	_	_
35-1	PKP014	35	le	le	linguistic	none	_	_	_	_	_	_
35-2	PKP014	35	aspettavo	aspettavo	linguistic	none	_	_	_	_	_	_
35-3	PKP014	35	insip~	insip~	linguistic	none	Interrupted=Yes	End=41.36	_	_	_	_
36-0	PKP015	36	perché	perché	linguistic	none	_	Begin=41.381	_	_	_	_
36-1	PKP015	36	era	era	linguistic	none	_	_	_	_	_	_
36-2	PKP015	36	gigante	gigante	linguistic	none	_	End=42.24	_	_	_	_
37-0	PKP013	37	[sì	sì	linguistic	none	_	Begin=42.146	_	_	_	0-2(462)
37-1	PKP013	37	è	è	linguistic	none	_	_	_	_	_	0-1(462)
37-2	PKP013	37	che	che	linguistic	none	_	_	_	_	_	0-3(462)
37-3	PKP013	37	quando:]	quando	linguistic	none	_	End=43.046	5x1	_	_	0-6(462)
38-0	PKP014	38	[sì	sì	linguistic	none	_	Begin=42.186	_	_	_	0-2(462)
38-1	PKP014	38	ma	ma	linguistic	none	_	_	_	_	_	0-2(462)
38-2	PKP014	38	non	non	linguistic	none	_	_	_	_	_	0-3(462)
38-3	PKP014	38	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	0-2(462)
38-4	PKP014	38	ho	ho	linguistic	none	_	_	_	_	_	0-2(462)
38-5	PKP014	38	fa]tta	fatta	linguistic	none	_	_	_	_	_	0-2(462)
38-6	PKP014	38	tutta	tutta	linguistic	none	_	_	_	_	_	_
38-7	PKP014	38	perché	perché	linguistic	none	_	_	_	_	_	_
38-8	PKP014	38	avevo	avevo	linguistic	none	_	_	_	_	_	_
38-9	PKP014	38	paura	paura	linguistic	none	_	_	_	_	_	_
38-10	PKP014	38	°che	che	linguistic	none	Volume=Low	_	_	_	_	_
38-11	PKP014	38	non	non	linguistic	none	Volume=Low	_	_	_	_	_
38-12	PKP014	38	ci	ci	linguistic	none	Volume=Low	_	_	_	_	_
38-13	PKP014	38	stesse°	stesse	linguistic	none	Volume=Low	End=45.186	_	_	_	_
39-0	PKP013	39	quando	quando	linguistic	none	_	Begin=45.196	_	_	_	_
39-1	PKP013	39	le	le	linguistic	none	_	_	_	_	_	_
39-2	PKP013	39	abbiamo	abbiamo	linguistic	none	_	_	_	_	_	_
39-3	PKP013	39	messe	messe	linguistic	none	_	_	_	_	_	_
39-4	PKP013	39	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
39-5	PKP013	39	sembrava::	sembrava	linguistic	none	_	End=47.8	7x2	_	_	_
40-0	PKP013	40	un	un	linguistic	none	_	Begin=48.671	_	_	_	_
40-1	PKP013	40	sacco	sacco	linguistic	none	_	_	_	_	_	_
40-2	PKP013	40	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
40-3	PKP013	40	poi	poi	linguistic	none	_	_	_	_	_	_
40-4	PKP013	40	a	a	linguistic	none	_	_	_	_	_	_
40-5	PKP013	40	[cuocere]	cuocere	linguistic	none	_	_	_	_	_	0-7(10)
40-6	PKP013	40	son	son	linguistic	none	_	_	_	_	_	_
40-7	PKP013	40	come	come	linguistic	none	_	_	_	_	_	_
40-8	PKP013	40	gli	gli	linguistic	none	_	_	_	_	_	_
40-9	PKP013	40	spinaci	spinaci	linguistic	none	_	End=51.041	_	_	_	_
41-0	PKP014	41	[sì]	sì	linguistic	none	_	Begin=49.536|End=49.886	_	_	_	0-2(10)
